Dataset,Method,Cluster,C_Ka,Cl_Ka,Zn_Ka,O_Ka,S_Ka
Aerial,k-means,0,1.414,0.02,0.983,0.794,0.103
Aerial,k-means,1,2.345,0.002,0.024,0.661,0.002
Aerial,k-means,2,1.892,0.743,0.313,0.701,0.221
Aerial,k-means,3,1.816,0.024,0.141,0.713,0.913
Aerial,GMM,0,1.587,0.0,0.96,0.754,0.0
Aerial,GMM,1,2.314,0.0,0.0,0.67,0.0
Aerial,GMM,2,1.839,0.694,0.343,0.712,0.269
Aerial,GMM,3,1.777,0.0,0.268,0.723,0.87
Aerial,Hierarchical,0,1.468,0.014,0.961,0.779,0.159
Aerial,Hierarchical,1,2.338,0.002,0.016,0.664,0.0
Aerial,Hierarchical,2,1.872,0.741,0.32,0.705,0.244
Aerial,Hierarchical,3,1.852,0.014,0.072,0.707,0.922
Cross-section,k-means,0,2.125,0.032,0.073,0.692,0.876
Cross-section,k-means,1,2.49,0.002,0.016,0.631,0.0
Cross-section,k-means,2,2.281,0.737,0.12,0.65,0.146
Cross-section,k-means,3,1.63,0.071,1.001,0.754,0.134
Cross-section,GMM,0,2.174,0.0,0.0,0.683,0.839
Cross-section,GMM,1,2.481,0.0,0.0,0.633,0.0
Cross-section,GMM,2,2.16,0.693,0.228,0.674,0.213
Cross-section,GMM,3,1.822,0.0,0.929,0.721,0.204
Cross-section,Hierarchical,0,2.105,0.021,0.105,0.694,0.867
Cross-section,Hierarchical,1,2.488,0.002,0.006,0.632,0.0
Cross-section,Hierarchical,2,2.227,0.735,0.163,0.662,0.169
Cross-section,Hierarchical,3,1.73,0.039,0.991,0.735,0.08
